Lecture;Ecouter musique;Cinema;Spectacle;Exposition;Ordinateur;Sport;Marche;Voyage;Jouer musique;Collection;Activite benevole;Bricolage;Jardinage;Tricot;Cuisine;Peche;TV;Sexe;Age;Situation matrimoniale;Profession;Nb activites
O;O;O;O;O;N;O;O;O;N;N;O;O;N;N;N;N;2;F;(55,65];Marie;cadre;11
O;N;N;N;O;N;O;O;N;N;O;O;O;O;N;N;N;4;M;(45,55];Marie;NA;9
O;O;N;N;O;N;N;N;O;N;N;N;N;N;N;N;N;4;F;(25,35];reMarie;cadre;5
O;N;N;N;O;N;O;N;O;N;N;N;N;N;N;N;N;1;M;(75,85];Marie;NA;5
O;O;O;O;N;N;N;O;N;N;N;N;N;N;N;N;N;3;M;(55,65];Marie;employe;6
N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;3;M;(45,55];Marie;ouvrier;2
N;O;N;N;N;O;O;N;N;N;N;N;O;N;N;N;N;3;M;(35,45];Marie;employe;5
O;O;O;O;O;O;N;N;O;N;N;N;N;N;N;N;N;0;M;[15,25];Seul;NA;7
O;O;O;O;N;O;O;O;O;O;N;N;N;N;N;N;N;1;F;(35,45];Seul;cadre;10
O;O;O;N;O;N;N;N;N;O;N;N;O;O;N;N;N;1;F;(25,35];Seul;employe;8
O;N;O;O;N;N;O;N;N;N;N;N;N;N;N;N;N;0;F;[15,25];Seul;employe;4
O;O;O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;2;F;(75,85];Divorce;cadre;8
O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;3;F;(35,45];Marie;employe;9
O;O;O;O;O;O;O;O;O;O;N;O;N;N;N;O;N;0;F;[15,25];Seul;NA;12
N;N;N;N;N;N;N;N;N;O;N;N;N;O;N;N;N;4;F;(65,75];Divorce;NA;3
O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(45,55];Marie;employe;3
O;O;N;O;O;O;O;N;N;N;N;N;N;N;N;N;N;2;M;(55,65];Seul;NA;7
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;1;F;(45,55];Marie;employe;1
O;O;N;O;O;N;N;N;O;N;N;N;N;N;N;N;N;3;M;(65,75];Marie;agent de ma?trise;6
O;O;O;O;O;O;O;N;O;O;N;N;O;N;N;N;N;1;M;(25,35];Seul;cadre;11
O;O;O;O;O;O;O;N;O;O;N;N;N;N;N;O;O;2;M;(45,55];reMarie;cadre;12
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;M;(45,55];Marie;employe;1
O;O;O;N;N;O;O;O;O;O;N;N;O;N;N;O;N;3;F;(25,35];Seul;cadre;11
O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;O;N;4;F;(25,35];Seul;cadre;11
O;O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;0;F;(65,75];Divorce;NA;6
O;O;O;O;O;N;O;O;O;O;N;O;N;N;N;N;N;0;F;(35,45];Seul;employe;10
O;O;O;O;O;O;N;O;N;O;N;N;O;O;N;O;N;0;M;[15,25];Seul;NA;11
O;O;O;O;O;O;O;N;O;N;O;N;O;N;N;N;N;2;F;(45,55];Marie;cadre;11
O;O;O;O;O;N;N;N;N;N;O;N;O;O;N;N;N;2;M;(35,45];Seul;cadre;9
O;O;O;O;O;O;N;O;O;O;N;N;N;N;N;O;N;2;F;(25,35];Seul;cadre;11
O;O;N;N;N;N;N;O;N;N;N;N;N;N;N;O;N;4;M;(55,65];Marie;NA;5
O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;O;N;4;F;(35,45];Marie;NA;12
O;O;N;O;O;O;N;N;O;N;N;N;N;N;N;O;N;2;F;(45,55];Seul;cadre;8
O;O;O;O;O;N;N;O;O;N;O;N;O;N;N;N;N;1;M;(35,45];reMarie;autre;10
O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;O;O;2;F;(25,35];Seul;cadre;11
O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;N;2;M;(25,35];Seul;cadre;10
O;O;N;O;O;O;N;O;N;O;N;N;O;N;N;O;N;3;M;(35,45];Marie;cadre;10
O;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(65,75];Marie;employe;6
N;O;O;N;O;O;N;N;N;N;N;N;N;N;N;N;N;2;M;[15,25];Seul;ouvrier;5
O;O;O;O;O;O;N;N;O;N;N;N;N;O;N;N;N;2;F;(45,55];Divorce;cadre;9
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(85,100];Veuf;employe;2
O;O;O;O;O;N;O;O;O;N;N;N;N;N;N;O;N;3;F;(35,45];Divorce;NA;10
O;O;O;O;O;O;N;O;O;O;O;N;O;N;N;O;N;4;M;(65,75];Divorce;NA;13
